trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness,SLN_ID,sp_green_frac,sp_green_direct
128,128 burrowing owl,128 burrowing owl,1,10,2,3.5542168674698793,3,105.0,1.4583333333333333,3.5542168674698793,105.0,1.4583333333333333,123_shortgrassprairie,0.9999999999999999,0.7
129,129 great horned owl,129 great horned owl,1,4,0,3.5483870967741935,3,0.0,1.2209302325581395,3.5483870967741935,0.0,1.2209302325581395,123_shortgrassprairie,1.0,0.75
130,130 long-eared owl,130 long-eared owl,1,6,0,3.547945205479452,3,0.0,1.09375,3.547945205479452,0.0,1.09375,123_shortgrassprairie,1.0000000000000002,0.5
131,131 barn owl,131 barn owl,1,9,0,3.4634146341463414,3,0.0,1.0,3.4634146341463414,0.0,1.0,123_shortgrassprairie,1.0,0.5555555555555556
132,132 golden eagle,132 golden eagle,1,5,0,3.235294117647059,3,0.0,0.9545454545454546,3.235294117647059,0.0,0.9545454545454546,123_shortgrassprairie,1.0000000000000002,0.4
133,133 ferruginous hawk,133 ferruginous hawk,1,10,0,3.144578313253012,3,0.0,0.9459459459459459,3.144578313253012,0.0,0.9459459459459459,123_shortgrassprairie,0.9999999999999999,0.6
134,134 Swainson's hawk,134 Swainson's hawk,1,15,0,3.4756756756756757,3,0.0,0.7835820895522388,3.4756756756756757,0.0,0.7835820895522388,123_shortgrassprairie,0.9999999999999999,0.4666666666666667
1,      1 Myiatropa sp.;      2 Prionocyphon sp.,      1 Myiatropa sp.,2,1,0,2.0,1,0.0,6.0,2.0,0.0,6.0,138_treeholesengland,0.0,0.0
3,      3 Metriocnemus sp.;      4 Dasyhelea sp.,      3 Metriocnemus sp.,2,1,0,2.0,1,0.0,6.0,2.0,0.0,6.0,138_treeholesengland,0.0,0.0
5,      5 Aedes sp.,      5 Aedes sp.,1,2,0,2.0,1,0.0,3.0,2.0,0.0,3.0,138_treeholesengland,0.0,0.0
6,      6 Anopheles sp.,      6 Anopheles sp.,1,1,0,2.0,1,0.0,6.0,2.0,0.0,6.0,138_treeholesengland,0.0,0.0
7,      7 large detritus particles,      7 large detritus particles,1,0,1,1.0,0,6.0,0.0,1.0,6.0,0.0,138_treeholesengland,0.0,NaN
8,      8 small detritus particles,      8 small detritus particles,1,0,2,1.0,0,3.0,0.0,1.0,3.0,0.0,138_treeholesengland,0.0,NaN
9,      9 dissolved organic matter detritus,      9 dissolved organic matter detritus,1,0,2,1.0,0,3.0,0.0,1.0,3.0,0.0,138_treeholesengland,0.0,NaN
1,      1 Lechriodus fletcheri,      1 Lechriodus fletcheri,1,6,1,4.0,2,0.0,0.6666666666666666,4.0,0.0,0.6666666666666666,139_treeholesaustralia,0.0,0.0
2,      2 Anatopynia sp.,      2 Anatopynia sp.,1,2,2,3.0,2,2.5,1.25,3.0,2.5,1.25,139_treeholesaustralia,0.0,0.0
3,      3 Cheiroseius sp.,      3 Cheiroseius sp.,1,1,1,3.0,2,3.3333333333333335,3.3333333333333335,3.0,3.3333333333333335,3.3333333333333335,139_treeholesaustralia,0.0,0.0
4,      4 Prionocyphon sp.,      4 Prionocyphon sp.,1,1,2,2.0,1,1.4285714285714286,10.0,2.0,1.4285714285714286,10.0,139_treeholesaustralia,0.0,0.0
5,      5 hyadesiid mite,      5 hyadesiid mite,1,1,2,2.0,1,2.5,10.0,2.0,2.5,10.0,139_treeholesaustralia,0.0,0.0
6,      6 Aedes sp. 22;      7 Aedes candidoscutellum,      6 Aedes sp. 22,2,2,4,2.0,1,2.5,5.0,2.0,2.5,5.0,139_treeholesaustralia,0.0,0.0
8,      8 large detritus particles,      8 large detritus particles,1,0,1,1.0,0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.0,139_treeholesaustralia,0.0,NaN
9,      9 small detritus particles,      9 small detritus particles,1,0,2,1.0,0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.0,139_treeholesaustralia,0.0,NaN
10,     10 suspended organic matter detritus,     10 suspended organic matter detritus,1,0,1,1.0,0,1.1111111111111112,0.0,1.0,1.1111111111111112,0.0,139_treeholesaustralia,0.0,NaN
11,     11 Culicoides angularis,     11 Culicoides angularis,1,2,2,3.6,3,5.0,0.9090909090909091,3.6,5.0,0.9090909090909091,139_treeholesaustralia,0.0,0.0
12,     12 Arrenurus sp.,     12 Arrenurus sp.,1,4,1,3.7142857142857144,4,10.0,0.5882352941176471,3.7142857142857144,10.0,0.5882352941176471,139_treeholesaustralia,0.0,0.0
1,      1 Toxorhynchites r. septentrionalis,      1 Toxorhynchites r. septentrionalis,1,3,1,3.4,2,0.0,1.1666666666666667,3.4,0.0,1.1666666666666667,143_stumpholesalabama,0.0,0.0
2,      2 Prionocyphon discoideus;      3 Meromacrus acutus,      2 Prionocyphon discoideus,2,1,0,2.0,1,0.0,7.0,2.0,0.0,7.0,143_stumpholesalabama,0.0,0.0
4,      4 Brunettia nitida;      5 Telmatoscopus superbus,      4 Brunettia nitida,2,1,0,2.0,1,0.0,7.0,2.0,0.0,7.0,143_stumpholesalabama,0.0,0.0
6,      6 Culicoides arboricola;      7 C. guttipennis,      6 Culicoides arboricola,2,1,1,2.0,1,7.0,7.0,2.0,7.0,7.0,143_stumpholesalabama,0.0,0.0
8,      8 Aedes triseriatus;      9 Orthopodomyia signifera,      8 Aedes triseriatus,2,2,1,2.0,1,7.0,3.5,2.0,7.0,3.5,143_stumpholesalabama,0.0,0.0
10,     10 large detritus particles,     10 large detritus particles,1,0,1,1.0,0,7.0,0.0,1.0,7.0,0.0,143_stumpholesalabama,0.0,NaN
11,     11 small detritus particles,     11 small detritus particles,1,0,3,1.0,0,1.4,0.0,1.0,1.4,0.0,143_stumpholesalabama,0.0,NaN
12,     12 suspended organic matter detritus,     12 suspended organic matter detritus,1,0,1,1.0,0,2.3333333333333335,0.0,1.0,2.3333333333333335,0.0,143_stumpholesalabama,0.0,NaN
1,      1 Prionocyphon serricornis;      4 Myiatropa florea,      1 Prionocyphon serricornis,2,1,0,2.0,1,0.0,6.0,2.0,0.0,6.0,144_treeholesgermany,0.0,0.0
2,      2 Metriocnemus cavicola;      5 Telmatoscopus sp.;      6 Dasyhelea sensualis;      7 D. lignicola,      2 Metriocnemus cavicola,4,1,0,2.0,1,0.0,6.0,2.0,0.0,6.0,144_treeholesgermany,0.0,0.0
3,      3 Aedes ornatus,      3 Aedes ornatus,1,2,0,2.0,1,0.0,3.0,2.0,0.0,3.0,144_treeholesgermany,0.0,0.0
8,      8 Anopheles nigripes,      8 Anopheles nigripes,1,1,0,2.0,1,0.0,6.0,2.0,0.0,6.0,144_treeholesgermany,0.0,0.0
9,      9 large detritus particles,      9 large detritus particles,1,0,1,1.0,0,6.0,0.0,1.0,6.0,0.0,144_treeholesgermany,0.0,NaN
